[09:58:09] [INFO] received Windows console close event; shutting log-core down
[10:08:51] [INFO] received Windows console close event; shutting log-core down
[10:16:02] [INFO] received Windows console close event; shutting log-core down
[10:30:05] [INFO] received Windows console close event; shutting log-core down
[14:18:05] [INFO] received Windows console close event; shutting log-core down
[14:29:03] [INFO] received Windows console close event; shutting log-core down
[14:29:03] [INFO] received Windows console close event; shutting log-core down
[14:31:02] [INFO] received Windows console close event; shutting log-core down
[14:31:02] [INFO] received Windows console close event; shutting log-core down
[17:25:34] [INFO] received Windows console close event; shutting log-core down
[18:35:38] [INFO] received Windows console close event; shutting log-core down
[18:37:10] [INFO] received Windows console close event; shutting log-core down
[18:37:42] [INFO] received Windows console close event; shutting log-core down
[18:38:07] [INFO] received Windows console close event; shutting log-core down
[18:38:37] [INFO] received Windows console close event; shutting log-core down
[18:43:53] [INFO] received Windows console close event; shutting log-core down
[19:09:11] [INFO] received Windows console close event; shutting log-core down
[19:22:16] [INFO] received Windows console close event; shutting log-core down
[19:24:17] [INFO] received Windows console close event; shutting log-core down
[19:30:19] [INFO] received Windows console close event; shutting log-core down
[19:30:54] [INFO] received Windows console close event; shutting log-core down
[19:37:00] [INFO] received Windows console close event; shutting log-core down
[19:37:51] [INFO] received Windows console close event; shutting log-core down
[19:39:45] [INFO] received Windows console close event; shutting log-core down
[23:23:49] [INFO] received Windows console close event; shutting log-core down
[09:34:00] [INFO] received Windows console close event; shutting log-core down
[09:35:55] [INFO] received Windows console close event; shutting log-core down
[09:38:56] [INFO] received Windows console close event; shutting log-core down
[09:40:22] [INFO] received Windows console close event; shutting log-core down
[09:41:10] [INFO] received Windows console close event; shutting log-core down
[10:08:38] [INFO] received Windows console close event; shutting log-core down
[10:51:59] [INFO] received Windows console close event; shutting log-core down
[10:57:15] [INFO] received Windows console close event; shutting log-core down
[11:06:26] [INFO] received Windows console close event; shutting log-core down
[11:08:17] [INFO] received Windows console close event; shutting log-core down
[11:08:41] [INFO] received Windows console close event; shutting log-core down
[11:14:05] [INFO] received Windows console close event; shutting log-core down
[11:25:06] [INFO] received Windows console close event; shutting log-core down
[11:26:47] [INFO] received Windows console close event; shutting log-core down
[11:26:50] [INFO] received Windows console close event; shutting log-core down
[11:30:02] [INFO] received Windows console close event; shutting log-core down
[11:31:54] [INFO] received Windows console close event; shutting log-core down
[11:32:29] [INFO] received Windows console close event; shutting log-core down
[11:33:49] [INFO] received Windows console close event; shutting log-core down
[11:36:15] [INFO] received Windows console close event; shutting log-core down
[11:36:25] [INFO] received Windows console close event; shutting log-core down
[11:37:20] [INFO] received Windows console close event; shutting log-core down
[11:39:28] [INFO] received Windows console close event; shutting log-core down
[11:39:28] [INFO] received Windows console close event; shutting log-core down
[11:39:36] [INFO] received Windows console close event; shutting log-core down
[11:39:40] [INFO] received Windows console close event; shutting log-core down
[11:41:09] [INFO] received Windows console close event; shutting log-core down
[11:41:17] [INFO] received Windows console close event; shutting log-core down
[11:41:26] [INFO] received Windows console close event; shutting log-core down
[11:42:31] [INFO] received Windows console close event; shutting log-core down
[11:42:54] [INFO] received Windows console close event; shutting log-core down
[11:44:15] [INFO] received Windows console close event; shutting log-core down
[11:47:08] [INFO] received Windows console close event; shutting log-core down
[11:48:47] [INFO] received Windows console close event; shutting log-core down
[11:50:44] [INFO] received Windows console close event; shutting log-core down
[11:56:05] [INFO] received Windows console close event; shutting log-core down
[11:59:45] [INFO] received Windows console close event; shutting log-core down
[12:00:20] [INFO] received Windows console close event; shutting log-core down
[12:03:31] [INFO] received Windows console close event; shutting log-core down
[12:04:58] [INFO] received Windows console close event; shutting log-core down
[12:08:23] [INFO] received Windows console close event; shutting log-core down
[12:16:46] [INFO] received Windows console close event; shutting log-core down
[12:26:28] [INFO] received Windows console close event; shutting log-core down
[12:29:20] [INFO] received Windows console close event; shutting log-core down
[12:30:51] [INFO] received Windows console close event; shutting log-core down
[12:32:41] [INFO] received Windows console close event; shutting log-core down
[12:33:02] [INFO] received Windows console close event; shutting log-core down
[12:33:56] [INFO] received Windows console close event; shutting log-core down
[12:34:47] [INFO] received Windows console close event; shutting log-core down
[12:55:28] [INFO] received Windows console close event; shutting log-core down
[12:56:44] [INFO] received Windows console close event; shutting log-core down
[12:57:25] [INFO] received Windows console close event; shutting log-core down
